res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
90.0,55.0,23.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
91.0,55.0,23.0,10.0,10.0,12.0,18.0,17.0,4.0,5.0,3.0
96.0,55.0,23.0,10.0,15.0,12.0,18.0,17.0,4.0,5.0,3.0
103.0,55.0,23.0,10.0,15.0,12.0,18.0,17.0,4.0,5.0,3.0
109.0,55.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
112.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
115.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
122.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
124.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
124.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
121.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
89.0,75.0,24.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
84.0,75.0,24.0,17.0,10.0,12.0,28.0,28.0,5.0,5.0,6.0
82.0,57.0,24.0,17.0,10.0,8.0,28.0,28.0,5.0,3.0,6.0
80.0,36.0,24.0,17.0,10.0,8.0,19.0,18.0,5.0,3.0,3.0
80.0,55.0,24.0,17.0,10.0,12.0,28.0,28.0,5.0,5.0,6.0
111.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
116.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
117.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
120.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
121.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
122.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
124.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
125.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
123.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
121.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
116.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
114.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
112.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
110.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
109.0,55.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
104.0,55.0,23.0,10.0,15.0,12.0,18.0,17.0,7.0,5.0,6.0
63.0,36.0,19.0,10.0,5.0,8.0,8.0,7.0,2.0,3.0,3.0
89.0,55.0,19.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
56.0,55.0,14.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
12.0,-2.0,-4.0,5.0,-0.0,-0.0,-2.0,-3.0,-3.0,-1.0,-1.0
48.0,16.0,10.0,5.0,5.0,4.0,8.0,7.0,-1.0,1.0,1.0
19.0,-2.0,-4.0,5.0,-0.0,-0.0,-2.0,-3.0,-3.0,-1.0,-1.0
19.0,-2.0,5.0,5.0,-0.0,4.0,8.0,7.0,-1.0,1.0,1.0
76.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
69.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
70.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
73.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
74.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
76.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
78.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
80.0,55.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
87.0,55.0,23.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
94.0,55.0,23.0,10.0,15.0,12.0,18.0,17.0,4.0,5.0,3.0
102.0,55.0,23.0,10.0,15.0,12.0,18.0,17.0,4.0,5.0,3.0
107.0,55.0,28.0,17.0,15.0,12.0,18.0,28.0,7.0,5.0,6.0
111.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
116.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
119.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
122.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
125.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
128.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
131.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
135.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
137.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
139.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
131.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
131.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
133.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
134.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
138.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
142.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
147.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
150.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
155.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
160.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
158.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
157.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
156.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
154.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
153.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
152.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
150.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
147.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
141.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
135.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
131.0,75.0,29.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
127.0,75.0,29.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
23.0,-0.0,2.0,5.0,0.0,-0.0,-1.0,8.0,-3.0,-1.0,1.0
13.0,-0.0,-7.0,-1.0,0.0,-0.0,-12.0,-13.0,-5.0,-1.0,-3.0
41.0,18.0,1.0,5.0,5.0,4.0,-2.0,-3.0,-3.0,1.0,-1.0
105.0,55.0,28.0,10.0,15.0,12.0,18.0,28.0,7.0,5.0,6.0
109.0,55.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
113.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
122.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
126.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
130.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
134.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
142.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
151.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
161.0,96.0,44.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
166.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
171.0,96.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
176.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
185.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
186.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,12.0,9.0,8.0
189.0,116.0,49.0,23.0,27.0,21.0,39.0,49.0,12.0,9.0,10.0
193.0,116.0,49.0,29.0,27.0,21.0,39.0,49.0,12.0,9.0,10.0
195.0,116.0,44.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
198.0,116.0,44.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
199.0,116.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
195.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
195.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
194.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
198.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
200.0,116.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
202.0,116.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
206.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
207.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
210.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
215.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
210.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
210.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
204.0,136.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
201.0,116.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
198.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,11.0,10.0
197.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
195.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
193.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
191.0,116.0,49.0,23.0,27.0,21.0,39.0,49.0,12.0,9.0,10.0
186.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,12.0,9.0,8.0
182.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
178.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
175.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
173.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
173.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
175.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
177.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
176.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
176.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
175.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
175.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
174.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
173.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
172.0,96.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
181.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
178.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
179.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
181.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
179.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
178.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
178.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
181.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
185.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
184.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
185.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
186.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,12.0,9.0,8.0
188.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,12.0,9.0,10.0
193.0,116.0,49.0,29.0,27.0,21.0,39.0,49.0,12.0,9.0,10.0
198.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,11.0,10.0
204.0,136.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
207.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
209.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
212.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
214.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
216.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
214.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
136.0,79.0,36.0,23.0,17.0,13.0,29.0,39.0,7.0,5.0,8.0
154.0,98.0,40.0,17.0,22.0,17.0,29.0,28.0,5.0,7.0,6.0
155.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
149.0,98.0,35.0,17.0,22.0,17.0,29.0,28.0,7.0,7.0,6.0
80.0,40.0,8.0,11.0,1.0,9.0,10.0,8.0,-2.0,3.0,1.0
137.0,77.0,30.0,17.0,16.0,17.0,29.0,28.0,5.0,7.0,6.0
113.0,77.0,30.0,17.0,17.0,17.0,29.0,28.0,5.0,7.0,6.0
179.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
186.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,12.0,9.0,8.0
193.0,116.0,49.0,29.0,27.0,21.0,50.0,49.0,12.0,9.0,10.0
201.0,116.0,54.0,29.0,27.0,26.0,50.0,49.0,12.0,11.0,10.0
208.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
216.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
223.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
230.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
238.0,157.0,64.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
247.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
262.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
268.0,177.0,69.0,35.0,38.0,30.0,61.0,60.0,18.0,13.0,13.0
274.0,177.0,69.0,35.0,38.0,35.0,61.0,71.0,18.0,15.0,15.0
278.0,177.0,74.0,41.0,38.0,35.0,61.0,71.0,18.0,15.0,15.0
282.0,177.0,74.0,41.0,44.0,35.0,71.0,71.0,18.0,15.0,15.0
282.0,177.0,74.0,41.0,44.0,35.0,71.0,71.0,18.0,15.0,15.0
211.0,140.0,47.0,29.0,28.0,22.0,41.0,40.0,10.0,9.0,8.0
168.0,83.0,29.0,24.0,18.0,14.0,31.0,30.0,3.0,5.0,6.0
159.0,83.0,29.0,24.0,18.0,14.0,31.0,30.0,3.0,5.0,6.0
123.0,83.0,19.0,18.0,12.0,14.0,21.0,30.0,1.0,5.0,6.0
120.0,44.0,15.0,12.0,7.0,9.0,11.0,20.0,1.0,3.0,4.0
121.0,63.0,19.0,12.0,12.0,9.0,11.0,30.0,1.0,3.0,6.0
187.0,120.0,42.0,24.0,23.0,22.0,41.0,40.0,8.0,9.0,8.0
257.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
257.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
257.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
257.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
256.0,157.0,69.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
251.0,157.0,64.0,35.0,38.0,30.0,61.0,60.0,15.0,13.0,13.0
242.0,157.0,64.0,35.0,32.0,30.0,61.0,60.0,15.0,13.0,13.0
235.0,136.0,59.0,35.0,32.0,26.0,50.0,60.0,15.0,13.0,13.0
230.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,15.0,11.0,13.0
225.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
221.0,136.0,59.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
217.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
214.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
207.0,136.0,54.0,29.0,32.0,26.0,50.0,49.0,12.0,11.0,10.0
152.0,98.0,40.0,23.0,22.0,17.0,29.0,28.0,7.0,7.0,6.0
127.0,77.0,25.0,17.0,11.0,13.0,29.0,28.0,5.0,5.0,6.0
76.0,38.0,16.0,11.0,11.0,8.0,9.0,8.0,-0.0,3.0,1.0
61.0,38.0,11.0,11.0,5.0,4.0,9.0,8.0,2.0,1.0,3.0
23.0,-0.0,2.0,5.0,0.0,-0.0,9.0,8.0,-3.0,-1.0,1.0
79.0,36.0,15.0,11.0,5.0,8.0,8.0,18.0,2.0,3.0,3.0
88.0,57.0,20.0,11.0,10.0,8.0,19.0,18.0,5.0,3.0,3.0
131.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
132.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
133.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
134.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
135.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
136.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
136.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
137.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,6.0
152.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
160.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
164.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
168.0,96.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
173.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
176.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
180.0,116.0,49.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
176.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
136.0,77.0,39.0,23.0,16.0,21.0,39.0,38.0,7.0,9.0,8.0
123.0,77.0,25.0,17.0,16.0,13.0,29.0,28.0,5.0,5.0,6.0
113.0,77.0,20.0,11.0,16.0,13.0,19.0,18.0,2.0,5.0,3.0
77.0,38.0,16.0,11.0,11.0,8.0,9.0,18.0,2.0,3.0,3.0
73.0,57.0,20.0,11.0,5.0,13.0,19.0,18.0,2.0,5.0,3.0
73.0,38.0,12.0,11.0,0.0,8.0,9.0,8.0,-0.0,3.0,1.0
78.0,38.0,16.0,11.0,11.0,8.0,9.0,8.0,-0.0,3.0,1.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,8.0
148.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
152.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
153.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
155.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
158.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
159.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
158.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
156.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
154.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
153.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
152.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
151.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,8.0
137.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
102.0,75.0,29.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
95.0,75.0,29.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
91.0,75.0,24.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
88.0,75.0,24.0,17.0,15.0,12.0,28.0,28.0,5.0,5.0,6.0
89.0,75.0,24.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
123.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
124.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
125.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
126.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
127.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
128.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
129.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
130.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
132.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
133.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
134.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
134.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
133.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
133.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
132.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
131.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
124.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
-13.0,-19.0,-16.0,-7.0,-5.0,-4.0,-22.0,-13.0,-8.0,-3.0,-3.0
-33.0,-37.0,-30.0,-7.0,-15.0,-13.0,-22.0,-23.0,-13.0,-7.0,-6.0
-37.0,-58.0,-30.0,-7.0,-15.0,-13.0,-22.0,-23.0,-13.0,-7.0,-6.0
-37.0,-39.0,-17.0,-1.0,-10.0,-9.0,-12.0,-13.0,-8.0,-5.0,-3.0
19.0,-2.0,-4.0,5.0,-5.0,-0.0,-2.0,-3.0,-3.0,-1.0,-1.0
48.0,16.0,5.0,5.0,5.0,4.0,8.0,7.0,-1.0,1.0,1.0
19.0,-2.0,1.0,5.0,-0.0,-0.0,8.0,7.0,-1.0,-1.0,1.0
73.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
77.0,35.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
79.0,55.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
82.0,55.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
84.0,55.0,18.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
87.0,55.0,23.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
89.0,55.0,23.0,10.0,10.0,8.0,18.0,17.0,4.0,3.0,3.0
91.0,55.0,23.0,10.0,10.0,12.0,18.0,17.0,4.0,5.0,3.0
100.0,55.0,23.0,10.0,15.0,12.0,18.0,17.0,4.0,5.0,3.0
